"date";"price_brl"
"2025-11-15";"2151.55"
"2025-11-15";"2515.01"
"2025-11-15";"2749.51"
"2025-11-15";"2872.26"
"2025-11-15";"2999.92"
"2025-11-15";"3099.90"
"2025-11-15";"3131.89"
"2025-11-15";"3196.76"
"2025-11-15";"3298.93"
"2025-11-15";"3479.88"
"2025-11-15";"3499.00"
"2025-11-15";"3608.34"
"2025-11-15";"3665.48"

"2025-11-16";"2151.55"
"2025-11-16";"2515.01"
"2025-11-16";"2700.81"
"2025-11-16";"2749.51"
"2025-11-16";"2844.81"
"2025-11-16";"2872.26"
"2025-11-16";"2999.92"
"2025-11-16";"3023.90"
"2025-11-16";"3077.90"
"2025-11-16";"3158.89"
"2025-11-16";"3185.18"
"2025-11-16";"3239.89"
"2025-11-16";"3242.06"
"2025-11-16";"3327.37"
"2025-11-16";"3412.69"
"2025-11-16";"3499.00"
"2025-11-16";"3608.34"

"2025-11-17";"2151.55"
"2025-11-17";"2699.91"
"2025-11-17";"2700.81"
"2025-11-17";"2749.51"
"2025-11-17";"2843.91"
"2025-11-17";"2844.81"
"2025-11-17";"2872.26"
"2025-11-17";"2999.92"
"2025-11-17";"3099.90"
"2025-11-17";"3110.23"
"2025-11-17";"3196.76"
"2025-11-17";"3239.89"
"2025-11-17";"3401.54"
"2025-11-17";"3412.69"
"2025-11-17";"3499.00"
"2025-11-17";"3504.75"
"2025-11-17";"3524.39"
"2025-11-17";"3608.34"
"2025-11-17";"3711.46"

"2025-11-18";"2151.55"
"2025-11-18";"2700.81"
"2025-11-18";"2844.81"
"2025-11-18";"2969.90"
"2025-11-18";"3099.90"
"2025-11-18";"3110.23"
"2025-11-18";"3128.30"
"2025-11-18";"3196.76"
"2025-11-18";"3239.89"
"2025-11-18";"3401.54"
"2025-11-18";"3412.69"
"2025-11-18";"3499.00"
"2025-11-18";"3504.75"
"2025-11-18";"3524.39"
"2025-11-18";"3608.34"

"2025-11-19";"2151.55"
"2025-11-19";"2700.81"
"2025-11-19";"2776.90"
"2025-11-19";"2793.34"
"2025-11-19";"2844.81"
"2025-11-19";"2863.67"
"2025-11-19";"2999.90"
"2025-11-19";"3054.90"
"2025-11-19";"3077.90"
"2025-11-19";"3159.90"
"2025-11-19";"3177.65"
"2025-11-19";"3242.06"
"2025-11-19";"3266.89"
"2025-11-19";"3305.31"
"2025-11-19";"3441.13"
"2025-11-19";"3499.00"
"2025-11-19";"3608.34"
"2025-11-19";"3629.88"
"2025-11-19";"3823.48"

"2025-11-20";"2151.55"
"2025-11-20";"2700.81"
"2025-11-20";"2776.90"
"2025-11-20";"2793.34"
"2025-11-20";"2844.81"
"2025-11-20";"2863.67"
"2025-11-20";"3054.90"
"2025-11-20";"3104.90"
"2025-11-20";"3158.89"
"2025-11-20";"3177.65"
"2025-11-20";"3212.89"
"2025-11-20";"3270.50"
"2025-11-20";"3305.31"
"2025-11-20";"3327.37"
"2025-11-20";"3384.25"
"2025-11-20";"3499.00"
"2025-11-20";"3608.34"

"2025-11-21";"2151.55"
"2025-11-21";"2776.90"
"2025-11-21";"2793.34"
"2025-11-21";"2863.67"
"2025-11-21";"3054.90"
"2025-11-21";"3177.65"
"2025-11-21";"3185.89"
"2025-11-21";"3212.89"
"2025-11-21";"3305.31"
"2025-11-21";"3355.81"
"2025-11-21";"3384.25"
"2025-11-21";"3499.00"
"2025-11-21";"3608.34"

"2025-11-22";"1734.91"
"2025-11-22";"1895.56"
"2025-11-22";"1920.90"
"2025-11-22";"2099.90"
"2025-11-22";"2151.55"
"2025-11-22";"2157.41"
"2025-11-22";"2358.44"
"2025-11-22";"2432.90"
"2025-11-22";"2508.94"
"2025-11-22";"3142.09"
"2025-11-22";"3436.01"
"2025-11-22";"3499.00"
"2025-11-22";"3504.75"
"2025-11-22";"3524.39"
"2025-11-22";"3569.88"
"2025-11-22";"3608.34"
"2025-11-22";"3760.28"

"2025-11-23";"2140.11"
"2025-11-23";"2151.55"
"2025-11-23";"2261.61"
"2025-11-23";"2705.90"
"2025-11-23";"2790.46"
"2025-11-23";"3239.89"
"2025-11-23";"3412.69"
"2025-11-23";"3499.00"
"2025-11-23";"3608.34"

"2025-11-24";"1945.71"
"2025-11-24";"2067.21"
"2025-11-24";"2140.11"
"2025-11-24";"2151.55"
"2025-11-24";"2255.98"
"2025-11-24";"2261.61"
"2025-11-24";"2372.67"
"2025-11-24";"2396.92"
"2025-11-24";"2432.90"
"2025-11-24";"2502.87"
"2025-11-24";"2508.94"
"2025-11-24";"2520.90"
"2025-11-24";"2567.05"
"2025-11-24";"2645.03"
"2025-11-24";"2705.90"
"2025-11-24";"2712.85"
"2025-11-24";"2790.46"
"2025-11-24";"2912.38"
"2025-11-24";"3142.09"
"2025-11-24";"3183.54"
"2025-11-24";"3293.89"
"2025-11-24";"3306.29"
"2025-11-24";"3433.95"
"2025-11-24";"3436.01"
"2025-11-24";"3469.57"
"2025-11-24";"3499.00"
"2025-11-24";"3504.75"
"2025-11-24";"3524.39"
"2025-11-24";"3608.34"

"2025-11-25";"1002.70"
"2025-11-25";"1114.11"
"2025-11-25";"1115.01"
"2025-11-25";"1124.20"
"2025-11-25";"1249.11"
"2025-11-25";"1250.01"
"2025-11-25";"1558.91"
"2025-11-25";"1833.90"
"2025-11-25";"1837.80"
"2025-11-25";"1995.24"
"2025-11-25";"2059.70"
"2025-11-25";"2099.90"
"2025-11-25";"2151.55"
"2025-11-25";"2180.92"
"2025-11-25";"2303.67"
"2025-11-25";"2358.44"
"2025-11-25";"2411.69"
"2025-11-25";"2432.90"
"2025-11-25";"2508.94"
"2025-11-25";"2705.90"
"2025-11-25";"2790.46"
"2025-11-25";"3499.00"
"2025-11-25";"3608.34"

"2025-11-26";"1115.01"
"2025-11-26";"1140.58"
"2025-11-26";"1237.90"
"2025-11-26";"1250.01"
"2025-11-26";"1386.45"
"2025-11-26";"1387.90"
"2025-11-26";"1419.47"
"2025-11-26";"1467.90"
"2025-11-26";"1473.10"
"2025-11-26";"1495.59"
"2025-11-26";"1554.45"
"2025-11-26";"1593.78"
"2025-11-26";"1634.93"
"2025-11-26";"1648.64"
"2025-11-26";"1651.60"
"2025-11-26";"1665.90"
"2025-11-26";"1698.36"
"2025-11-26";"1741.96"
"2025-11-26";"1830.34"
"2025-11-26";"1833.90"
"2025-11-26";"1871.02"
"2025-11-26";"1985.51"
"2025-11-26";"2059.70"
"2025-11-26";"2092.55"
"2025-11-26";"2099.90"
"2025-11-26";"2151.55"
"2025-11-26";"2200.57"
"2025-11-26";"2260.16"
"2025-11-26";"2358.44"
"2025-11-26";"2432.90"
"2025-11-26";"2470.61"
"2025-11-26";"2508.94"
"2025-11-26";"2593.36"
"2025-11-26";"2699.91"
"2025-11-26";"2700.81"
"2025-11-26";"2701.38"
"2025-11-26";"2705.90"
"2025-11-26";"2790.46"
"2025-11-26";"2843.91"
"2025-11-26";"2844.81"
"2025-11-26";"3212.89"
"2025-11-26";"3384.25"
"2025-11-26";"3499.00"
"2025-11-26";"3608.34"

"2025-11-27";"1115.01"
"2025-11-27";"1250.01"
"2025-11-27";"1419.47"
"2025-11-27";"1458.81"
"2025-11-27";"1467.90"
"2025-11-27";"1495.59"
"2025-11-27";"1593.81"
"2025-11-27";"1634.93"
"2025-11-27";"1648.64"
"2025-11-27";"1665.90"
"2025-11-27";"1741.96"
"2025-11-27";"1830.34"
"2025-11-27";"1833.90"
"2025-11-27";"1837.80"
"2025-11-27";"1871.02"
"2025-11-27";"2059.70"
"2025-11-27";"2099.90"
"2025-11-27";"2151.55"
"2025-11-27";"2358.44"
"2025-11-27";"2700.81"
"2025-11-27";"2844.81"
"2025-11-27";"3104.90"
"2025-11-27";"3142.09"
"2025-11-27";"3212.89"
"2025-11-27";"3266.89"
"2025-11-27";"3270.50"
"2025-11-27";"3384.25"
"2025-11-27";"3436.01"
"2025-11-27";"3441.13"
"2025-11-27";"3499.00"
"2025-11-27";"3504.75"
"2025-11-27";"3524.39"
"2025-11-27";"3608.34"

"2025-11-28";"1467.90"
"2025-11-28";"1486.71"
"2025-11-28";"1495.59"
"2025-11-28";"1608.21"
"2025-11-28";"1634.93"
"2025-11-28";"1648.64"
"2025-11-28";"1741.96"
"2025-11-28";"1830.34"
"2025-11-28";"1833.90"
"2025-11-28";"1872.66"
"2025-11-28";"1945.71"
"2025-11-28";"2059.70"
"2025-11-28";"2067.21"
"2025-11-28";"2139.21"
"2025-11-28";"2140.11"
"2025-11-28";"2151.55"
"2025-11-28";"2255.98"
"2025-11-28";"2260.71"
"2025-11-28";"2261.61"
"2025-11-28";"2396.92"
"2025-11-28";"2700.81"
"2025-11-28";"2844.81"
"2025-11-28";"3131.89"
"2025-11-28";"3158.89"
